,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
215,Jagityal,2019-04-01,Cotton,2019,Apr,355.0,5593.5,5591.222535211267
216,Jagityal,2019-04-01,Maize,2019,Apr,7377.0,2022.5217391304348,2032.632099769554
217,Jagityal,2019-04-01,Paddy,2019,Apr,23030.2,1759.862745098039,1787.7373188248473
218,Jagityal,2019-05-01,Maize,2019,May,175.0,1956.0,1961.9942857142858
219,Jagityal,2019-05-01,Paddy,2019,May,35055.6,1775.0967741935483,1783.7544643366539
220,Jagityal,2019-06-01,Maize,2019,Jun,299.0,1872.2857142857142,1792.5183946488294
221,Jagityal,2019-06-01,Paddy,2019,Jun,2856.0,1628.6153846153845,1751.279761904762
222,Jagityal,2019-07-01,Maize,2019,Jul,159.0,2041.0,1765.867924528302
223,Jagityal,2019-07-01,Paddy,2019,Jul,3183.0,1735.2,1786.8124410933083
224,Jagityal,2019-08-01,Maize,2019,Aug,7.0,2323.0,2323.0
225,Jagityal,2019-08-01,Paddy,2019,Aug,2617.0,1702.3076923076924,1772.3118074130684
226,Jagityal,2019-09-01,Maize,2019,Sep,14.0,2005.5,2005.5
227,Jagityal,2019-09-01,Paddy,2019,Sep,1085.0,1635.4166666666667,1791.5437788018432
228,Jagityal,2019-10-01,Cotton,2019,Oct,38.0,5350.0,5350.0
229,Jagityal,2019-10-01,Maize,2019,Oct,7355.0,1809.9375,1775.3535010197145
230,Jagityal,2019-10-01,Paddy,2019,Oct,1788.0,1716.8125,1803.0889261744967
231,Jagityal,2019-11-01,Cotton,2019,Nov,47.0,5460.0,5460.0
232,Jagityal,2019-11-01,Maize,2019,Nov,53951.0,1703.0212765957447,1669.8303275194157
233,Jagityal,2019-11-01,Paddy,2019,Nov,49668.0,1811.0323383084578,1771.9903375077179
234,Jagityal,2019-12-01,Maize,2019,Dec,7115.0,1929.25,1890.8494729444835
235,Jagityal,2019-12-01,Paddy,2019,Dec,63005.799999999996,1815.415137614679,1803.471511617449
236,Jaishankar (Bhoopalapalli),2016-12-01,Paddy,2016,Dec,4523.4,1470.0,1470.0000000000002
237,Jaishankar (Bhoopalapalli),2017-02-01,Paddy,2017,Feb,7.0,1510.0,1510.0
238,Jaishankar (Bhoopalapalli),2017-11-01,Cotton,2017,Nov,929.0,4244.0,4254.02691065662
239,Jaishankar (Bhoopalapalli),2017-11-01,Paddy,2017,Nov,4416.0,1549.1666666666667,1561.4832427536232
240,Jaishankar (Bhoopalapalli),2017-12-01,Cotton,2017,Dec,505.0,4294.0,4283.960396039604
241,Jaishankar (Bhoopalapalli),2017-12-01,Paddy,2017,Dec,5359.0,1590.0,1590.0
242,Jaishankar (Bhoopalapalli),2018-01-01,Paddy,2018,Jan,479.0,1100.0,1100.0
243,Jaishankar (Bhoopalapalli),2019-01-01,Cotton,2019,Jan,37583.0,5343.933333333333,5348.144240747146
244,Jaishankar (Bhoopalapalli),2019-02-01,Cotton,2019,Feb,9226.0,5265.625,5264.629850422719
